pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad
"TOI-4010 b",3.02000000,11.00000000,1.34833500000,1441.00,4960.00,0.830000
"HD 28109 d",3.25000000,5.68100000,84.25999000000,506.50,6120.00,1.446000
"GJ 3470 b",4.20000000,14.00000000,3.33714000000,615.00,3600.00,0.503000
"TOI-2384 b",11.48920522,624.85064816,2.13570304000,889.70,3943.00,0.611300
"GJ 3090 b",2.13000000,3.34000000,2.85310540000,693.00,3556.00,0.516000
"TOI-1468 b",1.28000000,3.21000000,1.88051360000,682.20,3496.00,0.344000
"TrES-4 b",20.16500000,292.07300000,3.55394500000,,6184.00,2.008520
"HATS-9 b",13.14143160,259.34928000,1.91531100000,,5494.00,1.580420
"WASP-6 b",12.54284940,148.42586607,3.36100260000,1167.00,5438.00,0.790000
"WASP-12 b",19.39157000,444.96200000,1.09000000000,2510.00,6154.00,1.749420
"HD 42813 b",3.36000000,5.80000000,13.63083000000,755.00,5240.00,0.970000
"WASP-49 b",12.44199000,117.59710000,2.78174000000,,5600.00,0.970000
"WASP-47 d",3.60000000,10.40000000,9.03079000000,,5576.00,1.111330
"K2-415 b",1.01500000,7.50000000,4.01796940000,412.40,3173.00,0.196500
"HD 149026 b",9.09049900,102.34126000,2.87589160000,,6160.00,1.534000
"HAT-P-51 b",13.50682174,97.57332095,4.21802091000,1168.20,5453.00,0.995000
"WASP-15 b",15.78227200,188.15536000,3.75209748000,1676.00,6405.00,1.522000
"WASP-25 b",13.80946422,179.25522155,3.76483370000,1217.00,5697.00,0.884000
"HATS-13 b",13.58530800,172.58169000,3.04404990000,1244.00,5523.00,0.887000
"TOI-1518 b",21.01683881,731.00533610,1.90260300000,2492.00,7300.00,1.950000
"TOI-1203 b",1.52000000,3.51000000,4.15728880000,1361.20,5737.00,1.179000
"HD 95338 b",3.89000000,42.44000000,55.08700000000,385.00,5212.00,0.870000
"WASP-79 b",18.71903000,270.15550000,3.66238000000,,6600.00,1.600000
"Kepler-102 d",1.17000000,2.60000000,10.31200000000,,,0.755000
"TOI-1347 b",1.80000000,11.10000000,0.84742346000,1400.00,5464.00,0.830000
"HAT-P-14 b",15.91678000,1093.33520000,4.62767000000,,6600.00,1.820000
"TOI-2019 b",5.33275337,34.40000000,15.34440000000,917.46,5626.00,1.745700
"TOI-1470 c",2.47000000,7.24000000,18.08816000000,373.00,3709.00,0.469000
"TOI-1410.01",3.10083009,12.50000000,1.21687000000,1236.70,4635.00,0.755800
"TOI-561 d",2.53000000,11.95000000,25.62000000000,,5455.00,0.849000
"HD 110067 g",2.60700000,8.40000000,54.76992000000,440.00,5266.00,0.788000
"WASP-118 b",15.62534600,165.27160000,4.04604070000,1753.00,,1.754000
"CoRoT-5 b",15.55809200,151.92274000,4.03789620000,,6100.00,1.186000
"K2-114 b",10.44677001,638.83509807,11.39093110000,701.00,4920.00,0.824000
"Kepler-65 d",1.58700000,4.14000000,8.13167000000,,,1.437000
"XO-1 b",13.51805400,291.76794000,3.94153400000,1196.00,,
"Kepler-76 b",15.24424000,638.83830000,1.54492980000,2140.00,6409.00,1.320000
"GJ 9827 c",1.24100000,0.84000000,3.64809570000,,4340.00,0.602000
"TOI-283 b",2.34000000,6.54000000,17.61745000000,661.00,5213.00,0.850000
"WASP-175 b",13.54047200,314.65170000,3.06529070000,1571.00,6229.00,1.204000
"WASP-164 b",12.64375200,676.97790000,1.77712550000,1610.00,5806.00,0.932000
"Kepler-289 b",2.49000000,3.70000000,34.53830000000,,5990.00,1.000000
"HAT-P-9 b",15.69260000,241.86863000,3.92281400000,,6350.00,1.320000
"Kepler-7 b",17.95681800,135.07775000,4.88549480000,1621.00,5933.00,1.969000
"HD 207496 b",2.25000000,6.10000000,6.44100800000,743.00,4819.00,0.769000
"TOI-3362 b",12.80065596,1598.35905880,18.09547000000,,6532.00,1.830000
"HAT-P-38 b",9.24700000,84.85700000,4.64038200000,1082.00,5330.00,0.923000
"HD 110067 e",1.94000000,3.90000000,30.79309100000,533.00,5266.00,0.788000
"Kepler-25 c",4.50000000,14.30000000,12.72000000000,,,1.309000
"Kepler-77 b",10.76064000,165.90726000,3.57878087000,,5520.00,0.990000
"WASP-6 b",11.54527000,117.59710000,3.36101000000,,5450.00,0.730000
