pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad
GJ 486 b,0.28511222884059817,0.31678229071571273,0.0975311902807929,0.14561944309989044,0.1270063694267516,0.5196270197138869
K2-113 b,0.703128878435756,0.7471829412433328,0.16152064126912397,0.26833617812651256,0.42127388535031846,0.7094057632288518
HATS-58 A b,0.7357908210833105,0.7277973080246163,0.14658652317164705,0.4066695539194456,0.6184713375796178,0.7602245511947113
WASP-139 b,0.6730171357229836,0.5404602318306811,0.1623645027477678,0.2000611418235549,0.3808917197452229,0.6658361594531741
TOI-1246 e,0.4856817099147893,0.45934750047790296,0.2486027622262834,0.08643415789875933,0.3685350318471337,0.6784666722812669
TOI-7510 c,0.7121675840750394,0.647041851840154,0.22448341061550448,0.14554301582044682,0.4458598726114649,0.7051752572861518
TOI-2714 b,0.758065374798241,0.6966428064062273,0.12227732493992487,0.37660815733829256,0.4261146496815286,0.7381012680970553
TOI-6894 b,0.6863134904557743,0.5716194885437927,0.13617046328220034,0.07469492777622092,0.08751592356687893,0.4622926720894943
K2-3 b,0.3806110905145107,0.3695219954236528,0.18693580275137292,0.09594171146154433,0.19414012738853498,0.6039819235670965
TOI-2641 b,0.813499294720522,0.6432657817247874,0.15336653628894886,0.32158051613889377,0.4815286624203821,0.7488752050826694
WASP-136 b,0.7820523020205437,0.7607450505354767,0.15644446681876673,0.4120194634804982,0.5019108280254776,0.8303741504346828
HD 209458 b,0.7791328164205188,0.6932931199314663,0.13818265706183877,0.3376302448220518,0.4754140127388535,0.729666001441268
L 98-59 b,0.2018429212592536,0.1501157403774567,0.11745891382773468,0.12796474154841664,0.13949044585987258,0.5086264386778493
TOI-1448 b,0.43657209630734073,0.4848638203636212,0.1769647201162634,0.07675846432119837,0.13910828025477706,0.5452925195313747
HD 63433 c,0.4323819304911889,0.4653078241699975,0.22012576583976184,0.14119175604412398,0.4118471337579617,0.69091265184535
TOI-7149 b,0.7503385421892005,0.6951184048502544,0.1250314529881902,0.11930298321147427,0.1328662420382165,0.5324380862977185
HATS-67 b,0.8219849632941179,0.7572529597902428,0.10182421990594993,0.5269151402440577,0.5444585987261146,0.7611260157684621
TOI-6008 b,0.24025485882487777,0.34842919604974143,0.07258211040695998,0.14834534940004585,0.09617834394904456,0.47222646042089966
WASP-131 b,0.7574080892471652,0.6124832966819804,0.15738489912421655,0.3401778208035054,0.4726114649681528,0.7708302581055138
HIP 9618 c,0.47569470040930745,0.4793936368691505,0.263764104147293,0.09227320204825107,0.4189808917197451,0.6964010100969364
TIC 237913194 b,0.7397688787105144,0.7824152136501323,0.2060366392075274,0.2163656281048582,0.4417834394904458,0.7156256673792375
WASP-20 b,0.7936009837230094,0.6246554748700759,0.15354372479439005,0.3195424553537309,0.4611464968152866,0.7555240927315491
GJ 3929 b,0.26229341634019215,0.2454500515140324,0.1244003797343286,0.11313784933635644,0.1336305732484076,0.5149155847405061
K2-199 b,0.3439576372545636,0.39538766061912645,0.13412269655943448,0.20082541461799097,0.2765605095541401,0.63999580792708
K2-182 b,0.43390445561473123,0.49115076053532025,0.15197547799652744,0.21427661580006618,0.3577070063694267,0.6635942397958018
K2-19 b,0.6234891235209646,0.5285939995700673,0.17586358099936766,0.1666878964665121,0.3824203821656051,0.6698345145950437
K2-114 b,0.7056927752447509,0.7782352623496307,0.1927326210788125,0.15140244057779023,0.3448407643312102,0.6714066158356038
TOI-1268 b,0.6759570470793995,0.6225017715607546,0.17722432065920407,0.2023284844470486,0.37961783439490443,0.6884671337532088
TOI-1246 d,0.48091400467958323,0.37427613607077764,0.21564548160669506,0.11797060097317401,0.3685350318471337,0.6784666722812669
HATS-9 b,0.7302354301880795,0.7099269321712421,0.10991374502328467,0.4326548289302728,0.3880254777070063,0.767947241487005
HATS-11 b,0.8000558409286506,0.711254336885431,0.1394731103431452,0.38526991567523494,0.47643312101910823,0.7614627753127401
Kepler-68 b,0.4058054697706266,0.408449864832118,0.15804980998303528,0.29304766514661296,0.4492993630573248,0.7389282097262733
TOI-260 b,0.31178519458162063,0.33186088987890255,0.20053931134253278,0.0799658624818485,0.22038216560509555,0.6042190029005802
PDS 70 b,0.7701095770932272,0.9043464097355028,0.5758407741806689,0.2739408452857106,0.21044585987261138,0.7393915152092827
TOI-1266 b,0.4141963588887786,0.4672858140062016,0.19066378544993337,0.07268234275087254,0.1596178343949044,0.5627275884969146
TOI-6695 b,0.685140576623699,0.5908380481062144,0.2834988095565162,0.12083152880034646,0.5197452229299362,0.7694485450771791
Gliese 12 b,0.21327353012728184,0.42734605431975214,0.1980091568567844,0.048480370927062894,0.11885350318471333,0.48935387573910216
HAT-P-3 b,0.6990009284771125,0.6805351939102484,0.12917869207928612,0.26629811734134967,0.36560509554140125,0.6756528107887305
TOI-178 c,0.33677895892178916,0.36359192313206956,0.13431026618514666,0.19063511069217637,0.25426751592356683,0.6324630471455756
WASP-89 b,0.7254850592814185,0.8781218398727777,0.13597230350445202,0.2535602374340814,0.3579617834394904,0.6812692751714252
